gene,p-value,chrom
TMEM129,0.295,chr4
HAND2-AS1,0.0027,chr4
FBXO8,0.228,chr4
CEP44,0.925,chr4
DCTD,0.0669,chr4
WWC2,0.937,chr4
RWDD4,0.25,chr4
TRAPPC11,0.162,chr4
IRF2,0.883,chr4
CASP3,0.0353,chr4
PRIMPOL,0.0145,chr4
CENPU,0.00267,chr4
ACSL1,7e-06,chr4
CFAP97,0.0109,chr4
TLR3,0.954,chr4
CYP4V2,0.0222,chr4
KLKB1,0.75,chr4
FAT1,0.0238,chr4
FRG1,0.21,chr4
POLN,0.504,chr4
HAUS3,0.509,chr4
MXD4,0.0432,chr4
PPARGC1A,0.458,chr4
SOD3,0,chr4
PI4K2B,0.114,chr4
ANAPC4,0.935,chr4
SMIM20,0.295,chr4
TNIP2,0.00134,chr4
SH3BP2,0.973,chr4
ADD1,0.845,chr4
HTT,0.561,chr4
ZNF141,0.336,chr4
LRPAP1,0.176,chr4
PPP3CA,0.999,chr4
SLC39A8,0.456,chr4
MANBA,0.33,chr4
UBE2D3,0.863,chr4
CENPE,0.745,chr4
CYP2U1-AS1,0.177,chr4
LOC107986298,0.149,chr4
SGMS2,0.853,chr4
ARAP2,0.0193,chr4
TLR1,0.406,chr4
TLR6,0.699,chr4
FAM114A1,0.484,chr4
LOC105374418,0.00838,chr4
KLHL5,0.0104,chr4
WDR19,0.412,chr4
RFC1,0.539,chr4
UGDH-AS1,0.328,chr4
SMIM14,0.72,chr4
PDS5A,0.971,chr4
N4BP2,0.194,chr4
RBM47,0.0375,chr4
APBB2,0.266,chr4
LIMCH1,0.184,chr4
TMEM33,0.575,chr4
TMEM128,0.443,chr4
ABCA11P,0.488,chr4
LYAR,0.00409,chr4
ZBTB49,0.3,chr4
ZNF721,0.419,chr4
GNPDA2,0.00152,chr4
GABRA4,0.264,chr4
GABRB1,0.408,chr4
ATP10D,0.723,chr4
LOC101927179,0.0892,chr4
NFXL1,0.354,chr4
FRYL,0.0331,chr4
OCIAD1,0.686,chr4
OCIAD1-AS1,0.471,chr4
SPATA18,0.51,chr4
EVC2,0.349,chr4
REST,0.763,chr4
YTHDC1,0.451,chr4
KIAA0232,0.446,chr4
GRPEL1,0.925,chr4
DCK,0.785,chr4
"NAAA",0.419,chr4
PRDM8,0.0379,chr4
SEC31A,0.823,chr4
THAP9-AS1,0.596,chr4
THAP9,0.111,chr4
LIN54,0.983,chr4
HTRA3,0.133,chr4
HELQ,0.876,chr4
MRPS18C,0.914,chr4
ABRAXAS1,0.917,chr4
ACOX3,0.552,chr4
TRMT44,0.221,chr4
ARHGAP24,0.867,chr4
MAPK10,0.115,chr4
AFF1-AS1,0.913,chr4
C4orf36,0.931,chr4
NUDT9,0.607,chr4
PPM1K,0.487,chr4
HERC6,0.36,chr4
PYURF,0.39,chr4
RAP1GDS1,0.586,chr4
CYP2U1,0.183,chr4
ELOVL6,0.338,chr4
ANK2,0.038,chr4
ARSJ,0.0151,chr4
MYOZ2,0.193,chr4
EXOSC9,0.00135,chr4
BBS12,0.581,chr4
CTBP1,0.479,chr4
FAT4,0.787,chr4
JADE1,0.00905,chr4
SLC7A11-AS1,0.865,chr4
UVSSA,0.271,chr4
LOC101927636,0.156,chr4
LOC105377459,0.143,chr4
GYPE,0.166,chr4
ANAPC10,0.289,chr4
GYPA,0.296,chr4
HHIP-AS1,0.259,chr4
LSM6,0.569,chr4
RPS3A,0.757,chr4
SH3D19,0.351,chr4
FBXW7,0.136,chr4
ARFIP1,0.351,chr4
TLR2,0.204,chr4
LOC102724776,0.685,chr4
MAP9,0.654,chr4
GUCY1A1,0.0198,chr4
C4orf45,0.774,chr4
FNIP2,0.52,chr4
TAPT1,0.347,chr4
SPOCK3,0.022,chr4
MED28,0.0568,chr4
SPCS3,0.378,chr4
AGA,0.744,chr4
TENM3,0.924,chr4
ANKRD37,0.0736,chr4
UFSP2,0.0703,chr4
CFI,0.0965,chr4
PLA2G12A,0.259,chr4
C4orf3,0.774,chr4
LINC01061,0.03,chr4
GTF2IP12,0.192,chr4
FAM193A,0.804,chr4
C4orf19,0.396,chr4
RELL1,0.413,chr4
PGM2,0.105,chr4
LOC105374407,0.0357,chr4
TBC1D1,0.223,chr4
KLF3-AS1,0.866,chr4
KLF3,0.738,chr4
RPL9,0.501,chr4
LIAS,0.377,chr4
UGDH,0.0818,chr4
GUF1,0.0269,chr4
DCUN1D4,0.758,chr4
LOC105377663,0.168,chr4
CEP135,0.564,chr4
CRACD,0.251,chr4
AASDH,0.187,chr4
PPAT,0.475,chr4
NOA1,0.213,chr4
POLR2B,0.495,chr4
IGFBP7-AS1,0.142,chr4
IGFBP7,0.16,chr4
LINC02482,0.93,chr4
LOC93622,0.436,chr4
TBC1D14,0.151,chr4
LOC100129931,0.086,chr4
CXCL8,0.0601,chr4
USO1,0.491,chr4
SCARB2,0.00055,chr4
FAM47E,0.202,chr4
CCDC158,0.594,chr4
CCNI,0.379,chr4
PAQR3,0.78,chr4
BMP2K,0.421,chr4
SH3TC1,0.3,chr4
COQ2,0.333,chr4
METAP1,0.891,chr4
IDUA,0.598,chr4
BANK1,0.765,chr4
ARHGEF38,0.606,chr4
INTS12,0.0705,chr4
GSTCD,0.00594,chr4
SEC24B,0.719,chr4
CAMK2D,0.575,chr4
NKX3-2,0.719,chr4
MGARP,0.534,chr4
CLGN,0.159,chr4
USP38,0.167,chr4
MMAA,0.0615,chr4
LRBA,0.717,chr4
GATB,0.836,chr4
CTSO,0.0543,chr4
FGFBP2,0,chr4
PROM1,0,chr4
TMEM192,0.907,chr4
CPE,0.226,chr4
DDX60,0.706,chr4
PALLD,0.214,chr4
CBR4,0.178,chr4
LCORL,0.634,chr4
CDKN2AIP,0.426,chr4
PACRGL,0.249,chr4
KCNIP4,0.177,chr4
DHX15,0.754,chr4
CCDC149,0.284,chr4
RNF4,0.356,chr4
STIM2,0.806,chr4
UBE2K,0.404,chr4
LOC105374421,0.299,chr4
NIPAL1,0.714,chr4
SLAIN2,0.735,chr4
PAICS,0.429,chr4
SRP72,0.947,chr4
SEPTIN11,0.561,chr4
ENOPH1,0.847,chr4
H2AZ1,0.309,chr4
SMAD1,0.677,chr4
C1QTNF7-AS1,0.000244,chr4
CPEB2,0.000204,chr4
TBCK,0.221,chr4
AIMP1,0.449,chr4
LOC105374346,0.823,chr4
CTBP1-DT,0.415,chr4
TBC1D9,0.104,chr4
FHDC1,0.127,chr4
RNF175,0.414,chr4
ETFDH,0.828,chr4
PPID,0.923,chr4
FGFR3,0.539,chr4
C4orf47,0.326,chr4
SORBS2,0.813,chr4
PIGG,0.017,chr4
DDIT4L-AS1,0.407,chr4
CCNA2,0.0337,chr4
ANKRD50,1.2e-05,chr4
SETD7,0.424,chr4
MIR4453HG,0.317,chr4
QDPR,0.508,chr4
FAM184B,0.0274,chr4
DCAF16,0.86,chr4
LETM1,0.822,chr4
SLIT2,0.213,chr4
CYTL1,0.507,chr4
NCAPG,0.127,chr4
RPL34-DT,0.557,chr4
ZGRF1,0.297,chr4
STX18,0.246,chr4
STK32B,0.37,chr4
SEPSECS,0.945,chr4
NOP14-AS1,0.824,chr4
NOP14,0.845,chr4
RGS12,0.12,chr4
CENPC,0.259,chr4
SLC9B1,0.351,chr4
CISD2,0.344,chr4
ABHD18,0.626,chr4
RAB28,0.222,chr4
ZCCHC4,0.856,chr4
RBPJ,0.26,chr4
ITGA1,0.00143,chr5
PELO,0.259,chr5
SNX18,0.166,chr5
CDC20B,0.00323,chr5
IL6ST,0.0104,chr5
MIER3,0.739,chr5
PDE4D,0.26,chr5
DIMT1,0.188,chr5
KIF2A,0.171,chr5
IPO11,0.54,chr5
MED10,0.709,chr5
CWC27,0.82,chr5
ADAMTS6,0.107,chr5
CENPK,0.937,chr5
SGTB,0.0885,chr5
NLN,0.0279,chr5
SRD5A1,0.853,chr5
TENT4A,0.598,chr5
PIK3R1,0,chr5
CCNB1,0.87,chr5
MRPS36,0.532,chr5
CCDC125,0.182,chr5
RAD17,0.0808,chr5
BDP1,0.0211,chr5
MAP1B,0.359,chr5
FCHO2,0.367,chr5
TMEM171,0.0255,chr5
ARHGEF28,0.00192,chr5
GFM2,0.152,chr5
NSA2,0.00013375,chr5
AGGF1,0.206,chr5
TBCA,0.00669,chr5
ADCY2,0.241,chr5
MTRR,0.115,chr5
ARSB,0.877,chr5
JMY,0.182,chr5
MTX3,0.204,chr5
SERINC5,0.11,chr5
ZCCHC9,0.919,chr5
RPS23,0.00491,chr5
ATG10,0.0306,chr5
TMEM167A,0.0254,chr5
VCAN,0.393,chr5
EDIL3,0.987,chr5
CCNH,0.864,chr5
TMEM161B-DT,0.756,chr5
LINC02060,0.0173,chr5
LYSMD3,0.902,chr5
SLF1,0.996,chr5
RHOBTB3,0,chr5
GLRX,0,chr5
ELL2,0.00384,chr5
LOC101929710,0.948,chr5
PCSK1,0.958,chr5
ERAP1,0.0555,chr5
LIX1-AS1,0.364,chr5
RIOK2,0.378,chr5
RGMB,0.265,chr5
SLC12A7,0.0336,chr5
DAP,0.7,chr5
EFNA5,0.83,chr5
FBXL17,0.225,chr5
FER,0.685,chr5
PJA2,0.544,chr5
WDR36,0.0594,chr5
STARD4-AS1,0.686,chr5
NREP,0.608,chr5
EPB41L4A-AS1,0.809,chr5
EPB41L4A,0.312,chr5
SRP19,0.289,chr5
REEP5,0.122,chr5
DCP2,0.834,chr5
MCC,0.797,chr5
YTHDC2,0.204,chr5
FEM1C,0.209,chr5
DMXL1,0.00265,chr5
TNFAIP8,1e-06,chr5
HSD17B4,0.226,chr5
SNX24,0.164,chr5
PPIC,0.272,chr5
PRDM6-AS1,0.299,chr5
CSNK1G3,0.326,chr5
LOC101927514,0.117,chr5
GRAMD2B,0.835,chr5
ALDH7A1,0.763,chr5
PHAX,0.983,chr5
MEGF10,0.0136,chr5
P4HA2,0,chr5
PDLIM4,0.0156,chr5
MIR3936HG,0.903,chr5
SLC22A4,0.899,chr5
SLC22A5,0.144,chr5
RAD50,0.372,chr5
IRF1,0.361,chr5
IRF1-AS1,0.361,chr5
KIF3A,0.661,chr5
SEPTIN8,0.586,chr5
AFF4,0.265,chr5
JADE2,0.0185,chr5
SAR1B,0.0161,chr5
CAMLG,0.995,chr5
TXNDC15,0.0676,chr5
HNRNPA0,0.891,chr5
FAM53C,0.857,chr5
KDM3B,0.448,chr5
HSPA9,0.412,chr5
SIL1,0.00219,chr5
MALINC1,0.0343,chr5
PURA,0.464,chr5
CYSTM1,0.432,chr5
PFDN1,0.384,chr5
HBEGF,0.0934,chr5
APBB3,0.945,chr5
SLC35A4,0.951,chr5
IK,0.12,chr5
NDUFA2,0.247,chr5
WDR55,0.0129,chr5
HARS2,0.614,chr5
ZMAT2,0.657,chr5
PCDHB4,0.0256,chr5
PCDHB7,0.336,chr5
PCDHB16,0.43,chr5
PCDHB10,0.472,chr5
PCDHB14,0.516,chr5
DELE1,0.145,chr5
PCDH12,0.0168,chr5
SPRY4,0.742,chr5
SPRY4-AS1,0.558,chr5
FGF1,0.563,chr5
NR3C1,0.405,chr5
TRIO,0.216,chr5
SH3RF2,0.247,chr5
LARS1,0.83,chr5
RBM27,0.179,chr5
TCERG1,0.809,chr5
DPYSL3,0.953,chr5
SQSTM1,0,chr5
MRNIP,0.224,chr5
TBC1D9B,0.769,chr5
MAPK9,0.598,chr5
GFPT2,0.321,chr5
CNOT6,0.646,chr5
LINC00847,0.558,chr5
ZFP62,0.673,chr5
TRIM7,0.928,chr5
TRIM41,0.0261,chr5
RACK1,0.193,chr5
CTC-338M12.4,0.545,chr5
TRIM52,0.384,chr5
TRIM52-AS1,0.341,chr5
CCDC127,0.028,chr5
PDCD6,0.0509,chr5
PDCD6-AHRR,0.0911,chr5
SDHA,0.0043,chr5
DROSHA,0.395,chr5
C5orf22,0.0917,chr5
SUB1,0.936,chr5
C1QTNF3-AMACR,0.727,chr5
AMACR,0.808,chr5
C1QTNF3,0.851,chr5
RAI14,0.142,chr5
RAD1,0.109,chr5
SPEF2,0.481,chr5
LMBRD2,0.541,chr5
NIPBL,0.754,chr5
CPLANE1,0.252,chr5
FYB1,0.15,chr5
TTC33,0.574,chr5
PRKAA1,0.644,chr5
RPL37,0.194,chr5
GHR,0.18,chr5
CCDC152,0.198,chr5
SELENOP,0.1005,chr5
LOC100506639,0.122,chr5
ZNF131,0.772,chr5
NIM1K,0.81,chr5
HMGCS1,0.743,chr5
PAIP1,0.0872,chr5
NNT-AS1,0.918,chr5
NNT,0.0258,chr5
FGF10,0.816,chr5
EXOC3,0.686,chr5
PP7080,0.948,chr5
SLC9A3,0.979,chr5
ARL15,0.0754,chr5
ESM1,0.349,chr5
GPX8,0.00036,chr5
LOC105378973,0.88,chr5
DHX29,0.87,chr5
MTREX,0.0365,chr5
GPBP1,0.383,chr5
ERCC8,0.742,chr5
SREK1IP1,0.127,chr5
TRIM23,0.881,chr5
SLC30A5,0.78,chr5
CENPH,0.547,chr5
MRPS27,0.98,chr5
ANKRA2,0.363,chr5
UTP15,0.0457,chr5
HEXB,0.845,chr5
GCNT4,0.212,chr5
CERT1,0.792,chr5
HMGCR,0.86,chr5
POLK,0.387,chr5
POC5,0.215,chr5
WDR41,0.414,chr5
SCAMP1,0.0121,chr5
LHFPL2,0.33,chr5
HOMER1,0.147,chr5
CMYA5,0.473,chr5
THBS4-AS1,0.543,chr5
THBS4,0.551,chr5
DHFR,0.577,chr5
SSBP2,0.931,chr5
XRCC4,0.83,chr5
VCAN-AS1,0.545,chr5
HAPLN1,0.84,chr5
EDIL3-DT,0.000545,chr5
ARRDC3,0.402,chr5
FAM172A,0.742,chr5
TTC37,0.766,chr5
SNHG18,0.589,chr5
ARSK,0.632,chr5
LINC01554,0.00182,chr5
CAST,0,chr5
CHD1,0.665,chr5
PAM,0.126,chr5
GIN1,0.344,chr5
PPIP5K2,0.403,chr5
MAN2A1,0.662,chr5
TMED7-TICAM2,0.692,chr5
TICAM2,0.154,chr5
TICAM2-AS1,0.122,chr5
TMED7,0.372,chr5
ATG12,0.0002925,chr5
DTWD2,0.623,chr5
LOX,0.0884,chr5
CEP120,0.0204,chr5
LMNB1,0.511,chr5
PRRC1,0.43,chr5
ISOC1,0.158,chr5
FAM174A,0.00106,chr5
ZCCHC10,0.424,chr5
TCF7,0.973,chr5
PPP2CA,0.356,chr5
SKP1,0.452,chr5
UBE2B,0.0842,chr5
TGFBI,0.819,chr5
SMAD5,0.156,chr5
SPOCK1,0.78,chr5
BRD8,0.838,chr5
KIF20A,0.0529,chr5
CDC23,0.182,chr5
PCDHGB2,1e-05,chr5
PCDHGB1,1.2e-05,chr5
PCDHGA4,8e-06,chr5
PCDHGA3,1.3e-05,chr5
PCDHGA2,3.7e-05,chr5
PCDHGA1,3e-05,chr5
PCDHGB3,1.9e-05,chr5
PCDHGA5,1.3e-05,chr5
PCDHGB5,4e-06,chr5
PCDHGA7,1.2e-05,chr5
PCDHGA6,2e-05,chr5
PCDHGB4,2.1e-05,chr5
PCDHGA8,6e-06,chr5
PCDHGA9,0,chr5
PCDHGB6,1e-06,chr5
RELL2,0.019,chr5
FCHSD1,0.109,chr5
NDFIP1,0.809,chr5
ARHGAP26,0.82,chr5
YIPF5,0.855,chr5
LPCAT1,0.1,chr5
ANKH,0.679,chr5
ABLIM3,0.62,chr5
SLC26A2,0.349,chr5
HMGXB3,0.012,chr5
PDGFRB,0.0124,chr5
TCOF1,0.879,chr5
RPS14,0.306,chr5
NDST1,0.246,chr5
SYNPO,0.0117,chr5
ZNF300P1,0.821,chr5
TNIP1,0.0638,chr5
ANXA6,0.0203,chr5
SAP30L-AS1,0,chr5
GALNT10,0,chr5
SAP30L,0.513,chr5
CLINT1,0.139,chr5
SDHAP3,0.000275,chr5
SLU7,0.649,chr5
HMMR-AS1,0.244,chr5
HMMR,0.245,chr5
RETREG1,0.326,chr5
PANK3,0.142,chr5
STK10,0.884,chr5
UBTD2,0.761,chr5
LOC105377730,0.441,chr5
DUSP1,0.715,chr5
ERGIC1,0.112,chr5
LOC100268168,0.0138,chr5
CREBRF,0.00986,chr5
BOD1,0.421,chr5
SFXN1,0.595,chr5
ARL10,0.0818,chr5
NOP16,0.102,chr5
CLTB,0.175,chr5
UIMC1,0.361,chr5
NSD1,0.594,chr5
LMAN2,0.648,chr5
PDLIM7,0.477,chr5
DDX41,0.648,chr5
FAM193B,0.453,chr5
TMED9,0.00249,chr5
LOC202181,0.584,chr5
RMND5B,0.709,chr5
PHYKPL,0.061,chr5
CLK4,0.0166,chr5
MSANTD5,0.761,chr5
ZNF354A,0.735,chr5
ZNF354B,0.0989,chr5
ADAMTS2,0.945,chr5
CANX,0.397,chr5
HEIH,0.364,chr5
ZFR,0.0464,chr5
PRLR,0.0064,chr5
LOC105374724,0.332,chr5
LIFR,0.548,chr5
OSMR,0.13,chr5
RICTOR,0.527,chr5
DAB2,0.1,chr5
C9,0.0989,chr5
FBXO4,0.235,chr5
TMEM267,0.931,chr5
SLC9A3-AS1,0.949,chr5
SLC38A9,0.226,chr5
RNF180,0.461,chr5
ERBIN,0.153,chr5
SREK1,0.192,chr5
MCCC2,0.657,chr5
PTCD2,0.278,chr5
AP3B1,0.0759,chr5
TENT2,0.536,chr5
ZFYVE16,0.322,chr5
MSH3,0.747,chr5
CKMT2-AS1,0.837,chr5
CKMT2,0.832,chr5
TSLP,0.702,chr5
STARD4,0.65,chr5
PGGT1B,0.0151,chr5
LVRN,0.0303,chr5
RASA1,0.385,chr5
TMEM161B,0.379,chr5
ERAP2,0,chr5
LNPEP,0.025,chr5
CMBL,0.254,chr5
MARCHF6,0.82,chr5
PRDM6,0.154,chr5
C5orf63,0.256,chr5
HINT1,0.326,chr5
LYRM7,0.656,chr5
KLHL3,0.0604,chr5
SRA1,0.338,chr5
CD14,0.551,chr5
PCDHB6,0.206,chr5
PCDHB9,0.1,chr5
PCDHB11,0.102,chr5
LOC105378199,0.234,chr5
TAF7,0.245,chr5
PCDHGB7,6e-06,chr5
PCDHGA10,7e-06,chr5
PCDHGA12,1e-05,chr5
PCDHGC3,1.1e-05,chr5
PCDHGC5,4e-06,chr5
PCDHGC4,6e-06,chr5
PCDHGA11,8e-06,chr5
ARAP3,0.316,chr5
FBXO38,0.228,chr5
ARHGEF37,0.261,chr5
GPX3,0.0177,chr5
GM2A,0.0061,chr5
SLC36A1,0.235,chr5
SPARC,0.335,chr5
GEMIN5,0.966,chr5
MRPL22,0.657,chr5
SGCD,0.0658,chr5
HAVCR2,0.482,chr5
MED7,0.557,chr5
FBXL7,0.0956,chr5
RETREG1-AS1,0.147,chr5
MYO10,0.43,chr5
RARS1,0.445,chr5
NPM1,0.625,chr5
SH3PXD2B,0.173,chr5
STC2,0.325,chr5
CPEB4,0.841,chr5
FAF2,0.737,chr5
GRK6,0.0548,chr5
PRR7-AS1,0.106,chr5
DBN1,0.362,chr5
ZFP2,0.428,chr5
ZNF879,0.222,chr5
PDZD2,0.000305,chr5
TARS1,0.385,chr5
SKP2,0.261,chr5
LINC01265,0.336,chr5
OSMR-DT,0.366,chr5
C5orf51,0.139,chr5
SRFBP1,0.0458,chr5
SLC12A2,0.746,chr5
P4HA2-AS1,0.42,chr5
FLJ32255,0.305,chr5
LOC153684,0.19,chr5
LOC648987,0.113,chr5
C5orf34-AS1,0.00567,chr5
C5orf34,0.00563,chr5
ITGA2,0.497,chr5
NDUFS4,0.0153,chr5
CCNO,0.0355,chr5
PLK2,0.000161428571428571,chr5
PART1,0.618,chr5
GTF2H2C,0.779,chr5
SCAMP1-AS1,0.306,chr5
FASTKD3,0.177,chr5
ATP6AP1L,0.443,chr5
MIR4458HG,0.847,chr5
CETN3,0.899,chr5
MBLAC2,0.251,chr5
ST8SIA4,0.253,chr5
NUDT12,0.744,chr5
CDO1,0.00307,chr5
MARCHF3,0.121,chr5
REEP2,0.0864,chr5
ETF1,0.0571,chr5
ANKHD1-EIF4EBP3,0.989,chr5
ANKHD1,0.991,chr5
TMCO6,0.954,chr5
PCDHB12,0.182,chr5
C5orf15,0.474,chr5
PITX1-AS1,0.9,chr5
MACROH2A1,0.888,chr5
THG1L,0.989,chr5
LSM11,0.334,chr5
ZBED8,0.41,chr5
TSPAN17,0.616,chr5
ZNF346,0.0035,chr5
B4GALT7,0.971,chr5
ZNF354C,0.748,chr5
RUFY1,0.539,chr5
HNRNPH1,0.00537,chr5
MGAT1,0.0418,chr5
"NADK2",0.346,chr5
NUP155,0.277,chr5
EGFLAM,0.944,chr5
LOC105374732,0.588,chr5
LOC112267931,0.625,chr5
PTGER4,0.0657,chr5
FGF10-AS1,0.81,chr5
FST,0.376,chr5
SETD9,0.669,chr5
ZSWIM6,0.741,chr5
UBE2QL1,0.623,chr5
PPWD1,0.628,chr5
LINC01018,0.169,chr5
NSUN2,0.647,chr5
FOXD1,0.67,chr5
PCDHB3,0.777,chr5
PCDHB8,0.062,chr5
PCDHB13,0.53,chr5
RAPGEF6,0.741,chr5
ADRB2,0.0138,chr5
GRPEL2-AS1,0.498,chr5
GRPEL2,0.484,chr5
FAXDC2,0.419,chr5
CNOT8,0.0275,chr5
ADAM19,0.438,chr5
RANBP3L,0.252,chr5
CARD6,0.835,chr5
TNPO1,0.502,chr5
LOC105379066,0.419,chr5
ATPSCKMT,0.946,chr5
SLC25A46,0.623,chr5
ZNF608,0.993,chr5
CDC42SE2,0.417,chr5
HSPA4,0.46,chr5
C5orf24,0.0307,chr5
CTNNA1,0.542,chr5
DNAJC18,0.52,chr5
STING1,0.298,chr5
CXXC5,0.677,chr5
LOC101926905,0.638,chr5
PCDHB2,0.626,chr5
TIGD6,0.124,chr5
DCTN4,0.349,chr5
G3BP1,0.267,chr5
ATOX1,0.511,chr5
CSNK1A1,0.00289,chr5
CCDC69,0.13,chr5
FAM114A2,0.161,chr5
MFAP3,0.206,chr5
PDCD6P1,0.895,chr5
FBXW11,0.434,chr5
LOC105377769,0.357,chr5
MTMR12,0.665,chr5
WDR70,0.975,chr5
CCL28,0.692,chr5
BTF3,0.888,chr5
APC,0.792,chr5
DND1,0.176,chr5
PCDH1,0.404,chr5
RBM22,0.324,chr5
SIMC1,0.958,chr5
RUFY1-AS1,0.1011,chr5
TARS1-DT,0.912,chr5
TAF8,0.749,chr6
MRPS10,0.159,chr6
UBR2,0.613,chr6
CNPY3,0.385,chr6
PEX6,0.00044,chr6
KLHDC3,0.578,chr6
RRP36,0.785,chr6
CUL7,0.144,chr6
KLC4,0.0218,chr6
PTK7,0.0904,chr6
CUL9,0.725,chr6
DNPH1,0.106,chr6
TJAP1,0.0393,chr6
YIPF3,0.391,chr6
POLR1C,0.447,chr6
XPO5,0.126,chr6
POLH,0.203,chr6
GTPBP2,0.433,chr6
SCIRT,0.0827,chr6
CDC5L,0.76,chr6
SUPT3H,0.924,chr6
ENPP4,0.517,chr6
SLC25A27,0.93,chr6
EXOC2,0.334,chr6
CDYL,0.842,chr6
MMUT,0.582,chr6
EFHC1,0.84,chr6
PAQR8,0.0198,chr6
TRAM2,0.88,chr6
TRAM2-AS1,0.303,chr6
GSTA4,0.772,chr6
BMP5,0.794,chr6
DST,0.251,chr6
KIAA1586,0.902,chr6
ZNF451-AS1,0.363,chr6
ZNF451,0.316,chr6
BAG2,0.0861,chr6
RAB23,0.113,chr6
PRIM2,0.306,chr6
F13A1,4e-06,chr6
PTP4A1,0.937,chr6
PHF3,0.81,chr6
LMBRD1,0.0768,chr6
COL9A1,0.13,chr6
FAM135A,0.0251,chr6
SDHAF4,0.883,chr6
SMAP1,0.0662,chr6
B3GAT2,0.102,chr6
OGFRL1,0.988,chr6
LINC00472,0.991,chr6
RREB1,0.692,chr6
SSR1,0.621,chr6
KCNQ5,0.00237,chr6
KHDC1,0.414,chr6
MTO1,0.57,chr6
SLC17A5,0.148,chr6
CD109,0.0343,chr6
RIOK1,0.335,chr6
COL12A1,0.122,chr6
DSP,0.604,chr6
MYO6,0.17,chr6
SNRNP48,0.463,chr6
BMP6,0.0106,chr6
TXNDC5,0,chr6
BLOC1S5-TXNDC5,0.082,chr6
IRAK1BP1,0.132,chr6
PHIP,0.176,chr6
LOC100506851,0.318,chr6
LCA5,0.291,chr6
SH3BGRL2,0.432,chr6
LOC105377871,0.00155,chr6
TENT5A,0.00177,chr6
LINC02542,0.609,chr6
IBTK,0.665,chr6
DOP1A,0.0326,chr6
PGM3,0.0103,chr6
LOC105374910,0.485,chr6
SLC35B3,0.483,chr6
TBX18,0.566,chr6
NT5E,0.00883,chr6
ZNF292,0.679,chr6
AKIRIN2,0.0977,chr6
RNGTT,0.167,chr6
PNRC1,0.103,chr6
SRSF12,0.822,chr6
PM20D2,0.122,chr6
GABRR2,0.708,chr6
RRAGD,0.133,chr6
LOC105377887,0.677,chr6
ANKRD6,0.547,chr6
LYRM2,0.677,chr6
MDN1,0.565,chr6
CASP8AP2,0.159,chr6
MANEA,0.0184,chr6
NDUFAF4,0.615,chr6
FBXL4,0.721,chr6
PNISR,0.85,chr6
TSTD3,0.332,chr6
USP45,0.229,chr6
ASCC3,0.52,chr6
HACE1,0.924,chr6
PREP,0.0612,chr6
CRYBG1,0.0152,chr6
RTN4IP1,0.0854,chr6
CD24,0.863,chr6
TMEM14C,0.202,chr6
SOBP,0.228,chr6
CD164,0.181,chr6
PPIL6,0.091,chr6
SMPD2,0.612,chr6
MICAL1,0.013,chr6
ZBTB24,0.108,chr6
ZBTB24-DT,0.119,chr6
AK9,0.00518,chr6
FIG4,0.0525,chr6
AMD1,0.828,chr6
REV3L,0.239,chr6
MFSD4B,0.235,chr6
TRAF3IP2,0.0136,chr6
TRAF3IP2-AS1,0.0132,chr6
FYN,0.26,chr6
NEDD9,0.246,chr6
LOC107986633,0.368,chr6
LAMA4,0.00737,chr6
MARCKS,0.00042,chr6
TMEM170B,0.347,chr6
FRK,0.000515,chr6
NT5DC1,0.458,chr6
TSPYL4,0.639,chr6
LOC112267965,0.582,chr6
DSE,0.0802,chr6
TSPYL1,0.54,chr6
CEP85L,0.0381,chr6
MAN1A1,0.00047,chr6
HIVEP1,0.0418,chr6
RNF146,0.615,chr6
ECHDC1,0.708,chr6
TMEM200A,0.000493333333333333,chr6
STX7,0.0156,chr6
VNN2,0.791,chr6
SLC18B1,0.269,chr6
RPS12,0.254,chr6
LOC100130357,0.945,chr6
TBC1D7-LOC100130357,0.983,chr6
GFOD1,0.468,chr6
HBS1L,0.764,chr6
AHI1,0.402,chr6
SIRT5,0.847,chr6
NOL7,0.47,chr6
PDE7B,0.362,chr6
LOC644135,0.295,chr6
MAP3K5,0.124,chr6
MCUR1,0.825,chr6
PERP,8e-06,chr6
REPS1,0.34,chr6
HIVEP2,0.102,chr6
PEX3,0.00479,chr6
FUCA2,0.00655,chr6
PHACTR2,0.92,chr6
EPM2A,0.261,chr6
FBXO30,0.148,chr6
EPM2A-DT,0.00556,chr6
SHPRH,0.0454,chr6
STXBP5-AS1,0.433,chr6
STXBP5,0.731,chr6
SAMD5,0.0463,chr6
SASH1,0.688,chr6
UST,0.856,chr6
KATNA1,0.637,chr6
LOC102723831,0.22,chr6
MTHFD1L,0.204,chr6
RMND1,0.0374,chr6
CCDC170,0.231,chr6
ESR1,0.29,chr6
SYNE1,0.115,chr6
CNKSR3,0.321,chr6
JARID2,0.728,chr6
TIAM2,0,chr6
TFB1M,4.4e-05,chr6
SNX9,0.104,chr6
SYNJ2,0.00246,chr6
TULP4,0.0002975,chr6
TMEM181,0.0405,chr6
RSPH3,0.0118,chr6
TAGAP-AS1,0.119,chr6
FNDC1,4e-06,chr6
SOD2,0,chr6
WTAP,0.0821,chr6
ACAT2,0.655,chr6
FOXCUT,0.304,chr6
MYLIP,0.083,chr6
GMDS,0.00683,chr6
GMPR,0.124,chr6
ATXN1,0.819,chr6
